Amine,Bromide,Catalyst,Solvent,Base,yield
3,13,6,2,b,33.449715
3,13,7,2,b,58.490448
3,13,9,2,b,52.984917
3,13,13,2,b,74.77375
3,13,14,2,b,73.03775
3,13,16,2,b,70.65721
3,13,18,2,b,82.09753
3,13,19,2,b,78.327484
3,13,20,2,b,85.236115
3,14,1,2,b,60.545574
3,14,2,2,b,81.09927
3,14,3,2,b,13.102089
3,14,4,2,b,23.56769
3,14,5,2,b,38.16313
3,14,6,2,b,21.021774
3,14,7,2,b,80.10142
3,14,9,2,b,75.880486
3,14,13,2,b,54.320652
3,14,14,2,b,88.80088
3,14,16,2,b,74.118004
3,14,18,2,b,67.796715
3,14,19,2,b,66.65958
3,14,20,2,b,70.18972
3,16,1,2,b,80.51806
3,16,2,2,b,98.35253
3,16,3,2,b,41.636776
3,16,4,2,b,49.98547
3,16,5,2,b,63.90017
3,16,6,2,b,40.589413
3,16,7,2,b,86.97008
3,16,9,2,b,84.76342
3,16,13,2,b,86.10129
3,16,14,2,b,91.588554
3,16,16,2,b,80.249825
3,16,18,2,b,75.26584
3,16,19,2,b,74.80013
3,16,20,2,b,89.53116
3,17,1,2,b,44.708588
3,17,2,2,b,70.90951
3,17,3,2,b,4.445582
3,17,4,2,b,15.151847
3,17,5,2,b,26.936453
3,17,6,2,b,10.574785
3,17,7,2,b,69.107605
3,17,9,2,b,60.548656
3,17,13,2,b,35.544502
3,17,14,2,b,77.75384
3,17,16,2,b,52.901424
3,17,18,2,b,46.355804
3,17,19,2,b,44.956734
3,17,20,2,b,48.48652
3,18,1,2,b,63.218163
3,18,2,2,b,76.89887
3,18,3,2,b,15.595658
3,18,4,2,b,28.6195
3,18,5,2,b,43.762035
3,18,6,2,b,20.037153
3,18,7,2,b,61.214046
3,18,9,2,b,57.714462
3,18,13,2,b,66.275406
3,18,14,2,b,71.81539
3,18,16,2,b,54.9309
3,18,18,2,b,61.037556
3,18,19,2,b,61.220345
3,18,20,2,b,74.86112
3,19,1,2,b,7.253406
3,19,2,2,b,19.960522
3,19,3,2,b,0.3700958
3,19,4,2,b,1.1852134
3,19,5,2,b,2.0746052
3,19,6,2,b,0.9825253
3,19,7,2,b,16.583357
3,19,9,2,b,11.123531
3,19,13,2,b,3.1519334
3,19,14,2,b,17.951687
3,19,16,2,b,10.659484
3,19,18,2,b,3.5665572
3,19,19,2,b,4.527483
3,19,20,2,b,6.6810617
3,20,1,2,b,16.515924
3,20,2,2,b,27.330359
3,20,3,2,b,0.47251382
3,20,4,2,b,3.4747157
3,20,5,2,b,6.071713
3,20,6,2,b,2.0178118
3,20,7,2,b,28.508165
3,20,9,2,b,23.323198
3,20,13,2,b,7.4163623
3,20,14,2,b,28.893192
3,20,16,2,b,16.268816
3,20,18,2,b,8.970565
3,20,19,2,b,11.823431
3,20,20,2,b,17.123356
3,23,1,2,b,75.38685
3,23,2,2,b,89.404625
3,23,3,2,b,27.665821
3,23,4,2,b,39.580467
3,23,5,2,b,55.205154
3,23,6,2,b,36.386887
3,23,7,2,b,70.87006
3,23,9,2,b,71.62963
3,23,13,2,b,82.96748
3,23,14,2,b,84.78465
3,23,16,2,b,77.07764
3,23,18,2,b,84.32158
3,23,19,2,b,81.998405
3,23,20,2,b,89.64391
3,25,1,2,b,5.156716
3,25,2,2,b,18.209255
3,25,3,2,b,-0.3764429
3,25,4,2,b,-0.18282013
3,25,5,2,b,1.600986
3,25,6,2,b,-0.540293
3,25,7,2,b,59.06824
3,25,9,2,b,56.20462
3,25,13,2,b,0.9428928
3,25,14,2,b,57.980717
3,25,16,2,b,14.950893
3,25,18,2,b,3.7851973
3,25,19,2,b,3.2074509
3,25,20,2,b,2.0693152
3,28,1,2,b,9.212126
3,28,2,2,b,22.256025
3,28,3,2,b,7.0657964
3,28,4,2,b,2.3679812
3,28,5,2,b,4.0049014
3,28,6,2,b,4.3830147
3,28,7,2,b,27.968933
3,28,9,2,b,29.5458
3,28,13,2,b,8.489717
3,28,14,2,b,31.150791
3,28,16,2,b,23.37478
3,28,18,2,b,4.912435
3,28,19,2,b,7.440527
3,28,20,2,b,9.549504
3,29,1,2,b,25.06479
3,29,2,2,b,41.36194
3,29,3,2,b,3.844009
3,29,4,2,b,11.243017
3,29,5,2,b,11.865802
3,29,6,2,b,4.999914
3,29,7,2,b,34.098053
3,29,9,2,b,24.384281
3,29,13,2,b,17.220675
3,29,14,2,b,32.972637
3,29,16,2,b,22.938272
3,29,18,2,b,19.731337
3,29,19,2,b,24.79255
3,29,20,2,b,30.87342
3,32,1,2,b,56.671932
3,32,2,2,b,70.26557
3,32,3,2,b,15.235766
3,32,4,2,b,30.004978
3,32,5,2,b,36.533943
3,32,6,2,b,19.62721
3,32,7,2,b,46.7441
3,32,9,2,b,37.985195
3,32,13,2,b,56.81308
3,32,14,2,b,55.972294
3,32,16,2,b,52.534054
3,32,18,2,b,56.901913
3,32,19,2,b,58.271854
3,32,20,2,b,68.09999
3,33,1,2,b,57.004898
3,33,2,2,b,72.81426
3,33,3,2,b,28.087313
3,33,4,2,b,23.03975
3,33,5,2,b,33.136627
3,33,6,2,b,24.557432
3,33,7,2,b,85.89816
3,33,9,2,b,86.76461
3,33,13,2,b,56.334316
3,33,14,2,b,90.64165
3,33,16,2,b,78.08657
3,33,18,2,b,47.99617
3,33,19,2,b,46.508625
3,33,20,2,b,52.79966
3,34,1,2,b,18.779842
3,34,2,2,b,31.270926
3,34,3,2,b,0.40894
3,34,4,2,b,1.8769583
3,34,5,2,b,7.668912
3,34,6,2,b,2.172253
3,34,7,2,b,47.57514
3,34,9,2,b,43.18989
3,34,13,2,b,7.845165
3,34,14,2,b,49.169743
3,34,16,2,b,22.49403
3,34,18,2,b,12.13423
3,34,19,2,b,10.955595
3,34,20,2,b,13.163369
3,35,1,2,b,18.190544
3,35,2,2,b,30.710825
3,35,3,2,b,-0.13537215
3,35,4,2,b,3.14238
3,35,5,2,b,5.779791
3,35,6,2,b,2.500989
3,35,7,2,b,29.906021
3,35,9,2,b,23.052446
3,35,13,2,b,8.36668
3,35,14,2,b,33.544067
3,35,16,2,b,22.3105
3,35,18,2,b,11.58574
3,35,19,2,b,12.001306
3,35,20,2,b,16.838514
3,36,1,2,b,10.128521
3,36,2,2,b,22.364315
3,36,3,2,b,-0.41543955
3,36,4,2,b,0.9939627
3,36,5,2,b,2.540152
3,36,6,2,b,1.0030646
3,36,7,2,b,20.436295
3,36,9,2,b,15.42383
3,36,13,2,b,3.5428674
3,36,14,2,b,23.735872
3,36,16,2,b,14.413308
3,36,18,2,b,4.3298945
3,36,19,2,b,4.971026
3,36,20,2,b,6.6229796
3,37,1,2,b,17.3809
3,37,2,2,b,26.014828
3,37,3,2,b,0.0068976437
3,37,4,2,b,3.8259678
3,37,5,2,b,5.073986
3,37,6,2,b,2.8884876
3,37,7,2,b,25.880857
3,37,9,2,b,19.578684
3,37,13,2,b,8.883891
3,37,14,2,b,30.913294
3,37,16,2,b,21.181068
3,37,18,2,b,11.684191
3,37,19,2,b,12.22967
3,37,20,2,b,18.430696
3,41,1,2,b,77.533936
3,41,2,2,b,83.37668
3,41,3,2,b,25.722914
3,41,4,2,b,34.62687
3,41,5,2,b,57.103542
3,41,6,2,b,34.332058
3,41,7,2,b,79.55514
3,41,9,2,b,79.430336
3,41,13,2,b,84.2818
3,41,14,2,b,90.182976
3,41,16,2,b,73.10478
3,41,18,2,b,74.50501
3,41,19,2,b,71.14879
3,41,20,2,b,86.598915
3,44,1,2,b,11.016449
3,44,2,2,b,22.265984
3,44,3,2,b,0.81721693
3,44,4,2,b,0.49743995
3,44,5,2,b,2.8998811
3,44,6,2,b,3.007673
3,44,7,2,b,25.946241
3,44,9,2,b,25.155855
3,44,13,2,b,6.934477
3,44,14,2,b,35.837357
3,44,16,2,b,23.71398
3,44,18,2,b,10.535768
3,44,19,2,b,8.910911
3,44,20,2,b,9.3646145
3,48,1,2,b,23.998728
3,48,2,2,b,38.315395
3,48,3,2,b,5.419401
3,48,4,2,b,15.232295
3,48,5,2,b,11.859985
3,48,6,2,b,6.24618
3,48,7,2,b,17.976217
3,48,9,2,b,9.962145
3,48,13,2,b,22.926304
3,48,14,2,b,19.879824
3,48,16,2,b,23.936312
3,48,18,2,b,21.255398
3,48,19,2,b,24.990593
3,48,20,2,b,36.400196
6,2,1,2,b,58.45192
6,2,2,2,b,61.176495
6,2,3,2,b,13.102026
6,2,4,2,b,35.58748
6,2,5,2,b,46.161034
6,2,6,2,b,27.086594
6,2,7,2,b,33.319294
6,2,9,2,b,33.09282
6,2,13,2,b,58.517757
6,2,14,2,b,47.027073
6,2,16,2,b,46.933716
6,2,18,2,b,66.47713
6,2,19,2,b,62.011856
6,2,20,2,b,73.805626
6,3,1,2,b,11.47318
6,3,2,2,b,12.883344
6,3,3,2,b,1.8628181
6,3,4,2,b,8.832816
6,3,5,2,b,5.4843616
6,3,6,2,b,2.8035295
6,3,7,2,b,8.851449
6,3,9,2,b,6.0732517
6,3,13,2,b,8.189486
6,3,14,2,b,9.599852
6,3,16,2,b,7.336298
6,3,18,2,b,7.3607273
6,3,19,2,b,11.44844
6,3,20,2,b,23.392454
6,5,1,2,b,43.52261
6,5,2,2,b,37.54924
6,5,3,2,b,17.824516
6,5,4,2,b,30.384188
6,5,5,2,b,27.508253
6,5,6,2,b,23.690355
6,5,7,2,b,16.433777
6,5,9,2,b,16.683315
6,5,13,2,b,51.108177
6,5,14,2,b,29.107216
6,5,16,2,b,39.46128
6,5,18,2,b,44.444073
6,5,19,2,b,43.96124
6,5,20,2,b,65.22301
6,9,1,2,b,3.4565809
6,9,2,2,b,3.0475552
6,9,3,2,b,0.7341819
6,9,4,2,b,1.5085646
6,9,5,2,b,1.3260837
6,9,6,2,b,1.5635849
6,9,7,2,b,7.3492613
6,9,9,2,b,4.0144906
6,9,13,2,b,1.9731183
6,9,14,2,b,8.710908
6,9,16,2,b,10.548707
6,9,18,2,b,1.6211635
6,9,19,2,b,2.4568844
6,9,20,2,b,4.208411
6,12,1,2,b,67.875755
6,12,2,2,b,56.94678
6,12,3,2,b,27.665398
6,12,4,2,b,51.18748
6,12,5,2,b,52.02209
6,12,6,2,b,37.0327
6,12,7,2,b,29.41213
6,12,9,2,b,30.850615
6,12,13,2,b,70.39399
6,12,14,2,b,47.708855
6,12,16,2,b,49.30911
6,12,18,2,b,67.71703
6,12,19,2,b,65.57192
6,12,20,2,b,87.474915
6,13,1,2,b,60.080967
6,13,2,2,b,59.65677
6,13,3,2,b,20.511803
6,13,4,2,b,40.145382
6,13,5,2,b,42.303623
6,13,6,2,b,34.058437
6,13,7,2,b,27.248413
6,13,9,2,b,25.777763
6,13,13,2,b,68.19877
6,13,14,2,b,43.583122
6,13,16,2,b,50.89734
6,13,18,2,b,66.930756
6,13,19,2,b,62.44139
6,13,20,2,b,80.26624
6,14,1,2,b,40.62522
6,14,2,2,b,45.81857
6,14,3,2,b,8.862114
6,14,4,2,b,21.623806
6,14,5,2,b,25.201006
6,14,6,2,b,17.053207
6,14,7,2,b,35.72491
6,14,9,2,b,32.012745
6,14,13,2,b,35.605988
6,14,14,2,b,46.100254
6,14,16,2,b,40.90905
6,14,18,2,b,46.82841
6,14,19,2,b,46.490704
6,14,20,2,b,57.056705
6,16,1,2,b,78.46109
6,16,2,2,b,82.78903
6,16,3,2,b,59.59865
6,16,4,2,b,70.247505
6,16,5,2,b,72.799324
6,16,6,2,b,54.304695
6,16,7,2,b,64.07537
6,16,9,2,b,65.222626
6,16,13,2,b,83.647285
6,16,14,2,b,72.33375
6,16,16,2,b,71.55011
6,16,18,2,b,74.272354
6,16,19,2,b,73.23614
6,16,20,2,b,93.59329
6,17,1,2,b,38.470535
6,17,2,2,b,41.995792
6,17,3,2,b,5.0218687
6,17,4,2,b,17.46171
6,17,5,2,b,24.144957
6,17,6,2,b,11.16123
6,17,7,2,b,38.965317
6,17,9,2,b,32.915043
6,17,13,2,b,27.837547
6,17,14,2,b,45.829517
6,17,16,2,b,28.617708
6,17,18,2,b,35.778416
6,17,19,2,b,34.25635
6,17,20,2,b,44.924454
6,18,1,2,b,67.63952
6,18,2,2,b,63.561287
6,18,3,2,b,28.95018
6,18,4,2,b,46.98675
6,18,5,2,b,53.651814
6,18,6,2,b,28.3475
6,18,7,2,b,28.177917
6,18,9,2,b,27.494633
6,18,13,2,b,71.58121
6,18,14,2,b,42.804317
6,18,16,2,b,46.70716
6,18,18,2,b,59.77307
6,18,19,2,b,60.132793
6,18,20,2,b,81.42984
6,19,1,2,b,1.9568366
6,19,2,2,b,4.546747
6,19,3,2,b,1.0090052
6,19,4,2,b,2.1463225
6,19,5,2,b,1.3458848
6,19,6,2,b,0.8537324
6,19,7,2,b,3.118743
6,19,9,2,b,1.8148973
6,19,13,2,b,0.89395475
6,19,14,2,b,4.2433157
6,19,16,2,b,2.3300323
6,19,18,2,b,0.7172867
6,19,19,2,b,1.7596605
6,19,20,2,b,4.661775
6,20,1,2,b,5.5695643
6,20,2,2,b,5.2117
6,20,3,2,b,1.142535
6,20,4,2,b,4.866509
6,20,5,2,b,2.4406033
6,20,6,2,b,1.1573586
6,20,7,2,b,7.6036816
6,20,9,2,b,6.172523
6,20,13,2,b,1.782458
6,20,14,2,b,8.891462
6,20,16,2,b,1.4491916
6,20,18,2,b,1.9726778
6,20,19,2,b,4.6304207
6,20,20,2,b,12.186139
6,23,1,2,b,69.270744
6,23,2,2,b,67.63453
6,23,3,2,b,32.48308
6,23,4,2,b,48.155647
6,23,5,2,b,52.753685
6,23,6,2,b,40.02814
6,23,7,2,b,35.376835
6,23,9,2,b,40.516235
6,23,13,2,b,79.468544
6,23,14,2,b,55.18808
6,23,16,2,b,59.809006
6,23,18,2,b,71.88456
6,23,19,2,b,70.35595
6,23,20,2,b,88.48189
6,25,1,2,b,1.9732587
6,25,2,2,b,2.864058
6,25,3,2,b,0.19384958
6,25,4,2,b,0.18547943
6,25,5,2,b,0.72533584
6,25,6,2,b,0.012018199
6,25,7,2,b,31.272697
6,25,9,2,b,25.94253
6,25,13,2,b,0.13964182
6,25,14,2,b,24.473213
6,25,16,2,b,2.177577
6,25,18,2,b,0.33820975
6,25,19,2,b,0.69736046
6,25,20,2,b,-0.10329589
6,28,1,2,b,9.682782
6,28,2,2,b,24.651005
6,28,3,2,b,16.38913
6,28,4,2,b,13.276356
6,28,5,2,b,9.681158
6,28,6,2,b,6.2789545
6,28,7,2,b,8.132644
6,28,9,2,b,7.9773684
6,28,13,2,b,10.01762
6,28,14,2,b,9.2254715
6,28,16,2,b,16.782854
6,28,18,2,b,4.6148815
6,28,19,2,b,7.6136627
6,28,20,2,b,23.268225
6,29,1,2,b,15.807088
6,29,2,2,b,18.542774
6,29,3,2,b,5.6578913
6,29,4,2,b,14.400377
6,29,5,2,b,8.718389
6,29,6,2,b,4.8190193
6,29,7,2,b,11.024745
6,29,9,2,b,7.24522
6,29,13,2,b,9.8504925
6,29,14,2,b,11.48282
6,29,16,2,b,6.7721186
6,29,18,2,b,8.456679
6,29,19,2,b,15.085998
6,29,20,2,b,28.316666
6,32,1,2,b,51.36933
6,32,2,2,b,49.791946
6,32,3,2,b,24.746122
6,32,4,2,b,43.084187
6,32,5,2,b,36.598644
6,32,6,2,b,24.175646
6,32,7,2,b,23.767723
6,32,9,2,b,19.225344
6,32,13,2,b,52.587296
6,32,14,2,b,34.79737
6,32,16,2,b,39.541405
6,32,18,2,b,46.165794
6,32,19,2,b,49.04997
6,32,20,2,b,71.45628
6,33,1,2,b,52.295998
6,33,2,2,b,62.324863
6,33,3,2,b,49.59875
6,33,4,2,b,46.316452
6,33,5,2,b,46.053833
6,33,6,2,b,36.24796
6,33,7,2,b,54.957428
6,33,9,2,b,55.88613
6,33,13,2,b,53.164078
6,33,14,2,b,58.532158
6,33,16,2,b,62.901047
6,33,18,2,b,44.0309
6,33,19,2,b,44.831562
6,33,20,2,b,61.455135
6,34,1,2,b,6.866808
6,34,2,2,b,6.413509
6,34,3,2,b,0.20700501
6,34,4,2,b,1.5948572
6,34,5,2,b,2.9031081
6,34,6,2,b,0.87070554
6,34,7,2,b,21.993557
6,34,9,2,b,18.537722
6,34,13,2,b,2.822125
6,34,14,2,b,20.697166
6,34,16,2,b,7.4213543
6,34,18,2,b,3.2088532
6,34,19,2,b,3.901192
6,34,20,2,b,6.8603253
6,35,1,2,b,6.293299
6,35,2,2,b,6.0990033
6,35,3,2,b,0.38333106
6,35,4,2,b,3.0298219
6,35,5,2,b,2.0865128
6,35,6,2,b,1.0824052
6,35,7,2,b,8.548591
6,35,9,2,b,5.04602
6,35,13,2,b,3.0068464
6,35,14,2,b,12.461541
6,35,16,2,b,6.552062
6,35,18,2,b,2.8789632
6,35,19,2,b,3.6429682
6,35,20,2,b,10.164434
6,36,1,2,b,1.8981133
6,36,2,2,b,2.5107346
6,36,3,2,b,0.28513473
6,36,4,2,b,1.1028471
6,36,5,2,b,0.60372317
6,36,6,2,b,0.35588893
6,36,7,2,b,4.012257
6,36,9,2,b,1.849626
6,36,13,2,b,0.9106392
6,36,14,2,b,6.709618
6,36,16,2,b,3.1333892
6,36,18,2,b,0.48659065
6,36,19,2,b,1.0669421
6,36,20,2,b,1.6492101
6,37,1,2,b,5.2788825
6,37,2,2,b,3.8233967
6,37,3,2,b,0.16862822
6,37,4,2,b,3.3596003
6,37,5,2,b,1.3215395
6,37,6,2,b,1.3970835
6,37,7,2,b,6.821534
6,37,9,2,b,3.4341629
6,37,13,2,b,3.2620165
6,37,14,2,b,10.309442
6,37,16,2,b,6.6715236
6,37,18,2,b,2.6288939
6,37,19,2,b,3.2869415
6,37,20,2,b,10.222267
6,41,1,2,b,74.33986
6,41,2,2,b,64.027405
6,41,3,2,b,39.170727
6,41,4,2,b,54.127686
6,41,5,2,b,63.076736
6,41,6,2,b,45.303837
6,41,7,2,b,50.87741
6,41,9,2,b,53.427094
6,41,13,2,b,79.77803
6,41,14,2,b,64.949646
6,41,16,2,b,63.626938
6,41,18,2,b,67.42219
6,41,19,2,b,64.85031
6,41,20,2,b,90.40228
6,44,1,2,b,2.6043391
6,44,2,2,b,4.781268
6,44,3,2,b,0.6753043
6,44,4,2,b,0.43107697
6,44,5,2,b,0.7121617
6,44,6,2,b,1.4412664
6,44,7,2,b,4.399417
6,44,9,2,b,3.8626099
6,44,13,2,b,2.666464
6,44,14,2,b,9.497114
6,44,16,2,b,7.8543396
6,44,18,2,b,2.3151577
6,44,19,2,b,3.7303042
6,44,20,2,b,4.6386347
6,48,1,2,b,19.845333
6,48,2,2,b,23.37332
6,48,3,2,b,14.195241
6,48,4,2,b,26.148779
6,48,5,2,b,13.890114
6,48,6,2,b,9.110963
6,48,7,2,b,6.5484405
6,48,9,2,b,3.554796
6,48,13,2,b,23.361906
6,48,14,2,b,8.496927
6,48,16,2,b,13.452479
6,48,18,2,b,13.116407
6,48,19,2,b,19.593859
6,48,20,2,b,41.129105
12,2,1,2,b,57.01381
12,2,2,2,b,67.84321
12,2,3,2,b,13.434133
12,2,4,2,b,36.461823
12,2,5,2,b,46.301968
12,2,6,2,b,26.299828
12,2,7,2,b,43.688164
12,2,9,2,b,43.292107
12,2,13,2,b,61.99406
12,2,14,2,b,56.2747
12,2,16,2,b,53.24992
12,2,18,2,b,69.26752
12,2,19,2,b,64.93532
12,2,20,2,b,73.71638
12,3,1,2,b,8.189192
12,3,2,2,b,17.545036
12,3,3,2,b,0.51242703
12,3,4,2,b,7.2516727
12,3,5,2,b,4.743323
12,3,6,2,b,1.6381912
12,3,7,2,b,13.407347
12,3,9,2,b,9.904884
12,3,13,2,b,8.953593
12,3,14,2,b,12.490649
12,3,16,2,b,9.311522
12,3,18,2,b,7.6958222
12,3,19,2,b,10.886252
12,3,20,2,b,18.700869
12,5,1,2,b,42.64296
12,5,2,2,b,41.36556
12,5,3,2,b,16.968855
12,5,4,2,b,30.484993
12,5,5,2,b,31.19384
12,5,6,2,b,23.449108
12,5,7,2,b,22.321972
12,5,9,2,b,22.672945
12,5,13,2,b,55.659065
12,5,14,2,b,34.7902
12,5,16,2,b,46.576263
12,5,18,2,b,47.134853
12,5,19,2,b,46.417965
12,5,20,2,b,63.53956
12,9,1,2,b,2.6124585
12,9,2,2,b,4.697634
12,9,3,2,b,0.6820292
12,9,4,2,b,1.4158984
12,9,5,2,b,0.89869297
12,9,6,2,b,0.9868317
12,9,7,2,b,8.746524
12,9,9,2,b,4.905459
12,9,13,2,b,1.7825681
12,9,14,2,b,15.63928
12,9,16,2,b,10.310375
12,9,18,2,b,1.3392463
12,9,19,2,b,1.4471941
12,9,20,2,b,2.9461133
12,12,1,2,b,61.42325
12,12,2,2,b,57.490868
12,12,3,2,b,23.180393
12,12,4,2,b,46.56401
12,12,5,2,b,47.3585
12,12,6,2,b,31.753223
12,12,7,2,b,41.009735
12,12,9,2,b,41.81768
12,12,13,2,b,68.593925
12,12,14,2,b,56.00809
12,12,16,2,b,51.91863
12,12,18,2,b,62.759792
12,12,19,2,b,62.639004
12,12,20,2,b,82.11799
12,13,1,2,b,55.77908
12,13,2,2,b,63.35702
12,13,3,2,b,18.513597
12,13,4,2,b,38.607
12,13,5,2,b,40.765903
12,13,6,2,b,29.592886
12,13,7,2,b,37.389324
12,13,9,2,b,35.82562
12,13,13,2,b,67.28243
12,13,14,2,b,50.551685
12,13,16,2,b,56.473248
12,13,18,2,b,66.14784
12,13,19,2,b,63.354027
12,13,20,2,b,76.46251
12,14,1,2,b,38.531013
12,14,2,2,b,53.54086
12,14,3,2,b,7.0267525
12,14,4,2,b,19.175806
12,14,5,2,b,22.564564
12,14,6,2,b,12.726965
12,14,7,2,b,53.38165
12,14,9,2,b,51.847076
12,14,13,2,b,36.63836
12,14,14,2,b,60.617977
12,14,16,2,b,54.20671
12,14,18,2,b,47.5081
12,14,19,2,b,48.10225
12,14,20,2,b,52.67341
12,16,1,2,b,81.20871
12,16,2,2,b,92.25228
12,16,3,2,b,59.946354
12,16,4,2,b,70.91833
12,16,5,2,b,75.83644
12,16,6,2,b,57.025887
12,16,7,2,b,89.37413
12,16,9,2,b,91.09507
12,16,13,2,b,91.06992
12,16,14,2,b,93.72124
12,16,16,2,b,81.532646
12,16,18,2,b,78.364815
12,16,19,2,b,76.091896
12,16,20,2,b,94.55958
12,17,1,2,b,29.01637
12,17,2,2,b,46.06656
12,17,3,2,b,0.6644582
12,17,4,2,b,11.693773
12,17,5,2,b,15.533684
12,17,6,2,b,6.004151
12,17,7,2,b,55.613876
12,17,9,2,b,48.129063
12,17,13,2,b,21.008146
12,17,14,2,b,60.778946
12,17,16,2,b,32.66087
12,17,18,2,b,27.986477
12,17,19,2,b,27.405094
12,17,20,2,b,34.87528
12,18,1,2,b,60.146317
12,18,2,2,b,65.23956
12,18,3,2,b,25.58136
12,18,4,2,b,42.747795
12,18,5,2,b,49.198654
12,18,6,2,b,25.19858
12,18,7,2,b,53.306778
12,18,9,2,b,53.392326
12,18,13,2,b,69.24936
12,18,14,2,b,64.42172
12,18,16,2,b,50.58496
12,18,18,2,b,52.664207
12,18,19,2,b,53.19727
12,18,20,2,b,76.42252
12,19,1,2,b,0.77509904
12,19,2,2,b,8.062073
12,19,3,2,b,0.13211276
12,19,4,2,b,1.211561
12,19,5,2,b,0.5834379
12,19,6,2,b,0.5363139
12,19,7,2,b,4.533118
12,19,9,2,b,3.0333064
12,19,13,2,b,0.42773706
12,19,14,2,b,5.831256
12,19,16,2,b,2.5517251
12,19,18,2,b,0.1455899
12,19,19,2,b,0.3583975
12,19,20,2,b,1.9499036
12,20,1,2,b,4.4440527
12,20,2,2,b,10.554053
12,20,3,2,b,0.12789287
12,20,4,2,b,3.405451
12,20,5,2,b,2.3825564
12,20,6,2,b,0.49412036
12,20,7,2,b,12.349994
12,20,9,2,b,10.83409
12,20,13,2,b,3.1279995
12,20,14,2,b,11.149718
12,20,16,2,b,2.9006438
12,20,18,2,b,1.1330984
12,20,19,2,b,4.129609
12,20,20,2,b,9.974963
12,23,1,2,b,67.69906
12,23,2,2,b,73.15766
12,23,3,2,b,31.2896
12,23,4,2,b,47.57109
12,23,5,2,b,54.45494
12,23,6,2,b,39.368263
12,23,7,2,b,57.723526
12,23,9,2,b,63.535473
12,23,13,2,b,81.5437
12,23,14,2,b,71.02619
12,23,16,2,b,70.284065
12,23,18,2,b,71.68371
12,23,19,2,b,71.13212
12,23,20,2,b,86.82281
12,25,1,2,b,1.6763221
12,25,2,2,b,6.880136
12,25,3,2,b,-0.54526705
12,25,4,2,b,-0.49660116
12,25,5,2,b,-0.19945957
12,25,6,2,b,-0.6567347
12,25,7,2,b,54.028965
12,25,9,2,b,50.220684
12,25,13,2,b,-0.29377913
12,25,14,2,b,49.751663
12,25,16,2,b,6.2489476
12,25,18,2,b,0.5730349
12,25,19,2,b,0.40035605
12,25,20,2,b,-1.0275831
12,28,1,2,b,11.612427
12,28,2,2,b,28.383955
12,28,3,2,b,18.217167
12,28,4,2,b,15.255705
12,28,5,2,b,13.0893135
12,28,6,2,b,9.0833845
12,28,7,2,b,27.86666
12,28,9,2,b,29.715929
12,28,13,2,b,14.04221
12,28,14,2,b,28.083895
12,28,16,2,b,25.316587
12,28,18,2,b,7.1911755
12,28,19,2,b,10.345241
12,28,20,2,b,22.457731
12,29,1,2,b,12.221232
12,29,2,2,b,23.801552
12,29,3,2,b,3.9777944
12,29,4,2,b,12.250141
12,29,5,2,b,7.166747
12,29,6,2,b,3.400473
